"Biv #0" | 353.65 | 0.195623 | 154.395
"Biv #1" | -41.5639 | 0.375003 | 295.707
"Biv #2" | 115.017 | 0.0447517 | -284.106
"Biv #3" | -271.142 | 0.443553 | 85.6759
"CReive (G-7)" | -91.0067 | 2.13481 | 140.965
"CReive (H-6)" | 62.1654 | -2.69733 | 340.246
"CReive (I-9)" | 84.8235 | 1.63444 | -180.59
"CReive (J-9)" | 253.624 | 0.983492 | -165.326
"LostA (H-9)" | -37.9172 | -0.0293286 | -131.854
"LostA (J-6)" | 393.193 | -0.149004 | 399.636
"LReive (G-7)" | -212.278 | 0.117971 | 233.342
"LReive (I-5)" | 102.18 | 0.971928 | 466.877
"LReive (J-11)" | 376.772 | 0.839394 | -392.317
"LReive (J-5)" | 396.761 | 0.976732 | 459.558
"LReive (K-9)" | 460.455 | 1.01517 | -88.6683
"skirmish" | 171 | 4.4757 | -259
"WKR" | -419.918 | 0.209356 | -72.4871
